fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2025-09-27,Bundesliga 2,2025-26,Karlsruhe,Magdeburg,1,0,8,5,1,6,0,0,1,13,7,0,0,0
2025-09-28,Bundesliga 2,2025-26,Hannover,Bielefeld,3,1,4,2,2,1,0,0,4,6,3,0,1,1
2025-09-28,Bundesliga 2,2025-26,Nurnberg,Hertha,0,3,6,1,2,3,0,0,3,7,5,0,0,1
2025-09-28,Bundesliga 2,2025-26,PreuÃen MÃ¼nster,Braunschweig,3,1,3,9,3,4,0,0,4,12,7,0,1,1
2025-10-03,Bundesliga 2,2025-26,Braunschweig,Paderborn,1,2,4,4,3,2,0,0,3,8,5,0,1,1
2025-10-03,Bundesliga 2,2025-26,Fortuna Dusseldorf,Nurnberg,2,3,1,2,3,2,0,0,5,3,5,0,1,1
2025-10-04,Bundesliga 2,2025-26,Hertha,PreuÃen MÃ¼nster,2,1,5,4,4,3,0,0,3,9,7,0,1,1
2025-10-04,Bundesliga 2,2025-26,Holstein Kiel,Darmstadt,1,1,5,0,1,1,0,0,2,5,2,0,1,0
2025-10-04,Bundesliga 2,2025-26,Kaiserslautern,Bochum,3,2,11,2,2,5,0,0,5,13,7,0,1,1
2025-10-04,Bundesliga 2,2025-26,Dresden,Karlsruhe,3,3,3,7,1,1,0,0,6,10,2,0,1,1
2025-10-05,Bundesliga 2,2025-26,Bielefeld,Schalke 04,1,2,6,2,3,2,0,0,3,8,5,0,1,1
2025-10-05,Bundesliga 2,2025-26,Greuther Furth,Hannover,2,2,3,6,2,1,0,0,4,9,3,0,1,1
2025-10-05,Bundesliga 2,2025-26,Magdeburg,Elversberg,0,4,7,13,1,2,0,0,4,20,3,0,0,1
2025-10-17,Bundesliga 2,2025-26,Hannover,Schalke 04,0,3,9,7,0,2,0,0,3,16,2,0,0,1
2025-10-17,Bundesliga 2,2025-26,Fortuna Dusseldorf,Braunschweig,1,2,9,2,1,2,0,0,3,11,3,0,1,1
2025-10-18,Bundesliga 2,2025-26,Karlsruhe,Kaiserslautern,2,3,7,1,6,4,0,0,5,8,10,0,1,1
2025-10-18,Bundesliga 2,2025-26,Paderborn,Bielefeld,4,3,8,5,5,3,0,0,7,13,8,0,1,1
2025-10-18,Bundesliga 2,2025-26,PreuÃen MÃ¼nster,Dresden,2,2,4,3,2,3,0,1,4,7,5,1,1,1
2025-10-18,Bundesliga 2,2025-26,Bochum,Hertha,3,2,1,6,3,3,0,0,5,7,6,0,1,1
2025-10-19,Bundesliga 2,2025-26,Darmstadt,Magdeburg,0,0,1,5,2,1,1,0,0,6,3,1,0,0
2025-10-19,Bundesliga 2,2025-26,Elversberg,Greuther Furth,6,0,6,3,1,3,0,0,6,9,4,0,0,1
2025-10-19,Bundesliga 2,2025-26,Nurnberg,Holstein Kiel,1,1,3,7,3,1,0,0,2,10,4,0,1,0
2025-10-24,Bundesliga 2,2025-26,Greuther Furth,Karlsruhe,1,4,9,5,0,3,0,0,5,14,3,0,1,1
2025-10-24,Bundesliga 2,2025-26,Schalke 04,Darmstadt,1,0,6,4,5,1,0,0,1,10,6,0,0,0
2025-10-25,Bundesliga 2,2025-26,Bielefeld,Elversberg,2,0,3,6,2,2,0,0,2,9,4,0,0,0
2025-10-25,Bundesliga 2,2025-26,Dresden,Paderborn,1,2,10,4,2,2,0,0,3,14,4,0,1,1
2025-10-25,Bundesliga 2,2025-26,Holstein Kiel,Bochum,1,1,9,7,1,5,0,0,2,16,6,0,1,0
2025-10-25,Bundesliga 2,2025-26,Hertha,Fortuna Dusseldorf,1,0,6,7,2,2,0,0,1,13,4,0,0,0
2025-10-26,Bundesliga 2,2025-26,Magdeburg,PreuÃen MÃ¼nster,2,0,2,5,1,4,0,0,2,7,5,0,0,0
2025-10-26,Bundesliga 2,2025-26,Kaiserslautern,Nurnberg,1,1,4,8,3,3,0,0,2,12,6,0,1,0
2025-10-26,Bundesliga 2,2025-26,Braunschweig,Hannover,0,3,2,5,2,5,1,0,3,7,7,1,0,1
2025-10-31,Bundesliga 2,2025-26,Elversberg,Hannover,2,2,5,4,3,2,0,0,4,9,5,0,1,1
2025-10-31,Bundesliga 2,2025-26,PreuÃen MÃ¼nster,Holstein Kiel,2,1,4,7,5,4,0,0,3,11,9,0,1,1
2025-11-01,Bundesliga 2,2025-26,Hertha,Dresden,2,0,3,5,0,0,0,0,2,8,0,0,0,0
2025-11-01,Bundesliga 2,2025-26,Karlsruhe,Schalke 04,2,1,2,7,4,5,0,0,3,9,9,0,1,1
2025-11-01,Bundesliga 2,2025-26,Nurnberg,Braunschweig,2,1,1,9,2,3,0,1,3,10,5,1,1,1
2025-11-01,Bundesliga 2,2025-26,Darmstadt,Bielefeld,2,2,9,9,4,1,0,0,4,18,5,0,1,1
2025-11-02,Bundesliga 2,2025-26,Bochum,Magdeburg,2,0,8,7,2,4,0,0,2,15,6,0,0,0
2025-11-02,Bundesliga 2,2025-26,Fortuna Dusseldorf,Kaiserslautern,1,1,2,4,4,2,0,0,2,6,6,0,1,0
2025-11-02,Bundesliga 2,2025-26,Paderborn,Greuther Furth,2,1,5,5,1,3,0,0,3,10,4,0,1,1
2025-11-07,Bundesliga 2,2025-26,Dresden,Nurnberg,1,2,5,5,3,3,0,0,3,10,6,0,1,1
2025-11-07,Bundesliga 2,2025-26,Greuther Furth,PreuÃen MÃ¼nster,1,0,4,7,1,4,0,0,1,11,5,0,0,0
2025-11-08,Bundesliga 2,2025-26,Kaiserslautern,Hertha,0,1,7,4,2,3,0,0,1,11,5,0,0,0
2025-11-08,Bundesliga 2,2025-26,Schalke 04,Elversberg,1,0,1,5,4,2,0,0,1,6,6,0,0,0
2025-11-08,Bundesliga 2,2025-26,Hannover,Darmstadt,2,3,5,5,2,1,0,0,5,10,3,0,1,1
2025-11-08,Bundesliga 2,2025-26,Bielefeld,Karlsruhe,4,0,3,5,0,2,0,0,4,8,2,0,0,1
2025-11-09,Bundesliga 2,2025-26,Braunschweig,Bochum,0,2,10,9,3,3,0,0,2,19,6,0,0,0
2025-11-09,Bundesliga 2,2025-26,Holstein Kiel,Fortuna Dusseldorf,1,0,3,5,1,3,0,0,1,8,4,0,0,0
2025-11-09,Bundesliga 2,2025-26,Magdeburg,Paderborn,0,1,3,5,4,4,0,0,1,8,8,0,0,0
2025-11-21,Bundesliga 2,2025-26,Bochum,Dresden,1,2,13,8,0,3,0,0,3,21,3,0,1,1
2025-11-21,Bundesliga 2,2025-26,Hertha,Braunschweig,1,0,6,5,1,3,0,0,1,11,4,0,0,0
2025-11-22,Bundesliga 2,2025-26,Fortuna Dusseldorf,Magdeburg,2,1,3,11,4,1,0,0,3,14,5,0,1,1
2025-11-22,Bundesliga 2,2025-26,Paderborn,Hannover,0,2,11,4,0,1,0,0,2,15,1,0,0,0
2025-11-22,Bundesliga 2,2025-26,PreuÃen MÃ¼nster,Schalke 04,0,0,4,6,1,5,1,0,0,10,6,1,0,0
2025-11-22,Bundesliga 2,2025-26,Darmstadt,Greuther Furth,4,2,5,2,2,3,0,0,6,7,5,0,1,1
2025-11-23,Bundesliga 2,2025-26,Kaiserslautern,Holstein Kiel,4,1,10,3,2,5,0,1,5,13,7,1,1,1
2025-11-23,Bundesliga 2,2025-26,Karlsruhe,Elversberg,2,3,4,9,3,1,0,0,5,13,4,0,1,1
2025-11-23,Bundesliga 2,2025-26,Nurnberg,Bielefeld,2,0,6,13,3,3,0,0,2,19,6,0,0,0
2025-11-28,Bundesliga 2,2025-26,Schalke 04,Paderborn,2,1,3,3,2,4,0,0,3,6,6,0,1,1
2025-11-28,Bundesliga 2,2025-26,Hannover,Karlsruhe,3,0,4,1,2,1,0,0,3,5,3,0,0,1
2025-11-29,Bundesliga 2,2025-26,Magdeburg,Nurnberg,3,0,6,5,3,3,0,1,3,11,6,1,0,1
2025-11-29,Bundesliga 2,2025-26,Holstein Kiel,Hertha,0,1,8,3,2,6,0,0,1,11,8,0,0,0
2025-11-29,Bundesliga 2,2025-26,Greuther Furth,Bochum,0,3,6,9,2,0,0,0,3,15,2,0,0,1
2025-11-29,Bundesliga 2,2025-26,Braunschweig,Kaiserslautern,2,0,5,6,2,5,0,0,2,11,7,0,0,0
2025-11-30,Bundesliga 2,2025-26,Bielefeld,PreuÃen MÃ¼nster,1,2,13,2,3,6,0,0,3,15,9,0,1,1
2025-11-30,Bundesliga 2,2025-26,Dresden,Fortuna Dusseldorf,2,1,4,0,1,2,0,0,3,4,3,0,1,1
2025-11-30,Bundesliga 2,2025-26,Elversberg,Darmstadt,0,0,6,5,0,1,0,0,0,11,1,0,0,0
2025-12-05,Bundesliga 2,2025-26,Fortuna Dusseldorf,Schalke 04,0,2,1,4,7,1,1,0,2,5,8,1,0,0
2025-12-05,Bundesliga 2,2025-26,PreuÃen MÃ¼nster,Hannover,2,2,5,2,4,3,0,0,4,7,7,0,1,1
2025-12-06,Bundesliga 2,2025-26,Bochum,Bielefeld,1,0,4,5,5,2,0,0,1,9,7,0,0,0
2025-12-06,Bundesliga 2,2025-26,Kaiserslautern,Dresden,3,1,7,3,3,4,0,0,4,10,7,0,1,1
2025-12-06,Bundesliga 2,2025-26,Paderborn,Elversberg,1,2,3,10,4,1,1,0,3,13,5,1,1,1
2025-12-06,Bundesliga 2,2025-26,Darmstadt,Karlsruhe,3,2,8,9,1,2,0,0,5,17,3,0,1,1
2025-12-07,Bundesliga 2,2025-26,Braunschweig,Holstein Kiel,1,1,2,4,1,5,1,1,2,6,6,2,1,0
2025-12-07,Bundesliga 2,2025-26,Hertha,Magdeburg,0,2,7,5,0,3,0,0,2,12,3,0,0,0
2025-12-07,Bundesliga 2,2025-26,Nurnberg,Greuther Furth,2,2,5,3,2,3,0,0,4,8,5,0,1,1
2025-12-12,Bundesliga 2,2025-26,Greuther Furth,Hertha,3,3,2,4,2,3,0,0,6,6,5,0,1,1
2025-12-12,Bundesliga 2,2025-26,Dresden,Braunschweig,2,3,7,8,3,4,0,0,5,15,7,0,1,1
2025-12-13,Bundesliga 2,2025-26,Bielefeld,Kaiserslautern,0,0,10,4,1,1,0,0,0,14,2,0,0,0
2025-12-13,Bundesliga 2,2025-26,Karlsruhe,Paderborn,0,4,1,6,5,2,2,0,4,7,7,2,0,1
2025-12-13,Bundesliga 2,2025-26,Magdeburg,Holstein Kiel,3,3,6,4,2,3,0,0,6,10,5,0,1,1
2025-12-13,Bundesliga 2,2025-26,Hannover,Bochum,0,0,7,0,0,4,0,0,0,7,4,0,0,0
2025-12-14,Bundesliga 2,2025-26,Darmstadt,PreuÃen MÃ¼nster,1,0,7,4,2,2,0,0,1,11,4,0,0,0
2025-12-14,Bundesliga 2,2025-26,Elversberg,Fortuna Dusseldorf,1,0,8,6,1,3,0,0,1,14,4,0,0,0
2025-12-14,Bundesliga 2,2025-26,Schalke 04,Nurnberg,1,0,0,7,3,3,0,0,1,7,6,0,0,0
2025-12-19,Bundesliga 2,2025-26,Hertha,Bielefeld,1,1,3,4,3,2,1,0,2,7,5,1,1,0
2025-12-19,Bundesliga 2,2025-26,Paderborn,Darmstadt,2,2,7,3,2,1,0,0,4,10,3,0,1,1
2025-12-20,Bundesliga 2,2025-26,Bochum,Karlsruhe,2,2,3,3,2,0,0,0,4,6,2,0,1,1
2025-12-20,Bundesliga 2,2025-26,Fortuna Dusseldorf,Greuther Furth,2,1,6,4,4,2,0,0,3,10,6,0,1,1
2025-12-20,Bundesliga 2,2025-26,Kaiserslautern,Magdeburg,2,3,4,4,6,5,0,0,5,8,11,0,1,1
2025-12-20,Bundesliga 2,2025-26,Holstein Kiel,Dresden,2,1,7,9,0,1,0,0,3,16,1,0,1,1
2025-12-21,Bundesliga 2,2025-26,PreuÃen MÃ¼nster,Elversberg,1,1,5,6,2,2,0,0,2,11,4,0,1,0
2025-12-21,Bundesliga 2,2025-26,Braunschweig,Schalke 04,2,1,3,4,0,1,0,0,3,7,1,0,1,1
2025-12-21,Bundesliga 2,2025-26,Nurnberg,Hannover,2,1,3,6,4,2,0,0,3,9,6,0,1,1
2026-01-16,Bundesliga 2,2025-26,Braunschweig,Magdeburg,0,3,1,9,3,3,0,0,3,10,6,0,0,1
2026-01-16,Bundesliga 2,2025-26,Fortuna Dusseldorf,Bielefeld,1,0,2,2,0,0,0,0,1,4,0,0,0,0
2026-01-17,Bundesliga 2,2025-26,Dresden,Greuther Furth,2,0,7,3,3,3,0,0,2,10,6,0,0,0
2026-01-17,Bundesliga 2,2025-26,Nurnberg,Elversberg,3,2,7,3,5,1,0,0,5,10,6,0,1,1
2026-01-17,Bundesliga 2,2025-26,PreuÃen MÃ¼nster,Karlsruhe,0,2,7,9,0,3,1,0,2,16,3,1,0,0
2026-01-17,Bundesliga 2,2025-26,Hertha,Schalke 04,0,0,6,3,4,2,0,0,0,9,6,0,0,0
2026-01-18,Bundesliga 2,2025-26,Bochum,Darmstadt,3,3,8,6,1,2,0,0,6,14,3,0,1,1
2026-01-18,Bundesliga 2,2025-26,Holstein Kiel,Paderborn,2,0,1,11,3,3,0,0,2,12,6,0,0,0
2026-01-18,Bundesliga 2,2025-26,Kaiserslautern,Hannover,3,1,5,6,1,2,0,1,4,11,3,1,1,1
2026-01-23,Bundesliga 2,2025-26,Bielefeld,Holstein Kiel,2,2,5,6,1,3,0,1,4,11,4,1,1,1
2026-01-23,Bundesliga 2,2025-26,Darmstadt,Nurnberg,2,0,3,6,1,0,0,0,2,9,1,0,0,0
2026-01-24,Bundesliga 2,2025-26,Karlsruhe,Hertha,2,2,3,5,3,2,0,0,4,8,5,0,1,1
2026-01-24,Bundesliga 2,2025-26,Magdeburg,Dresden,1,2,10,5,2,0,0,0,3,15,2,0,1,1
2026-01-24,Bundesliga 2,2025-26,Greuther Furth,Braunschweig,0,0,2,10,3,2,1,0,0,12,5,1,0,0
2026-01-24,Bundesliga 2,2025-26,Hannover,Fortuna Dusseldorf,2,1,5,2,2,4,0,1,3,7,6,1,1,1
2026-01-25,Bundesliga 2,2025-26,Elversberg,Bochum,1,1,9,2,0,0,0,0,2,11,0,0,1,0
2026-01-25,Bundesliga 2,2025-26,Paderborn,PreuÃen MÃ¼nster,2,1,7,6,1,3,0,1,3,13,4,1,1,1
2026-01-25,Bundesliga 2,2025-26,Schalke 04,Kaiserslautern,2,2,10,2,1,1,0,0,4,12,2,0,1,1
2026-01-30,Bundesliga 2,2025-26,Magdeburg,Hannover,1,2,6,3,1,4,0,0,3,9,5,0,1,1
2026-01-30,Bundesliga 2,2025-26,Nurnberg,PreuÃen MÃ¼nster,1,1,7,2,2,4,0,0,2,9,6,0,1,0
2026-01-31,Bundesliga 2,2025-26,Kaiserslautern,Elversberg,1,3,2,2,4,3,1,0,4,4,7,1,1,1
2026-01-31,Bundesliga 2,2025-26,Bochum,Schalke 04,2,0,2,4,4,0,0,0,2,6,4,0,0,0
2026-01-31,Bundesliga 2,2025-26,Braunschweig,Karlsruhe,1,0,6,4,4,5,0,0,1,10,9,0,0,0
2026-01-31,Bundesliga 2,2025-26,Holstein Kiel,Greuther Furth,1,2,6,2,4,1,0,0,3,8,5,0,1,1
2026-02-01,Bundesliga 2,2025-26,Fortuna Dusseldorf,Paderborn,2,1,7,1,2,3,0,1,3,8,5,1,1,1
2026-02-01,Bundesliga 2,2025-26,Hertha,Darmstadt,2,2,4,6,0,4,1,0,4,10,4,1,1,1
2026-02-01,Bundesliga 2,2025-26,Dresden,Bielefeld,1,1,3,5,2,3,1,0,2,8,5,1,1,0
2026-02-06,Bundesliga 2,2025-26,PreuÃen MÃ¼nster,Bochum,1,1,3,6,2,2,0,0,2,9,4,0,1,0
2026-02-06,Bundesliga 2,2025-26,Greuther Furth,Magdeburg,4,5,9,1,1,2,0,0,9,10,3,0,1,1
2026-02-07,Bundesliga 2,2025-26,Elversberg,Hertha,0,3,7,5,1,2,0,0,3,12,3,0,0,1
2026-02-07,Bundesliga 2,2025-26,Paderborn,Nurnberg,2,1,6,5,2,3,0,1,3,11,5,1,1,1
2026-02-07,Bundesliga 2,2025-26,Schalke 04,Dresden,2,2,7,1,2,2,0,0,4,8,4,0,1,1
2026-02-07,Bundesliga 2,2025-26,Darmstadt,Kaiserslautern,4,0,6,6,1,2,0,0,4,12,3,0,0,1
2026-02-08,Bundesliga 2,2025-26,Bielefeld,Braunschweig,3,2,9,1,1,3,0,0,5,10,4,0,1,1
2026-02-08,Bundesliga 2,2025-26,Hannover,Holstein Kiel,3,1,10,4,0,3,0,0,4,14,3,0,1,1
2026-02-08,Bundesliga 2,2025-26,Karlsruhe,Fortuna Dusseldorf,1,1,3,3,1,2,0,0,2,6,3,0,1,0
2026-02-13,Bundesliga 2,2025-26,Fortuna Dusseldorf,PreuÃen MÃ¼nster,0,0,2,2,3,4,0,0,0,4,7,0,0,0
2026-02-13,Bundesliga 2,2025-26,Nurnberg,Karlsruhe,5,1,4,6,1,3,0,0,6,10,4,0,1,1
2026-02-14,Bundesliga 2,2025-26,Braunschweig,Darmstadt,2,2,6,7,1,1,0,0,4,13,2,0,1,1
2026-02-14,Bundesliga 2,2025-26,Hertha,Hannover,2,3,5,6,1,0,0,0,5,11,1,0,1,1
2026-02-14,Bundesliga 2,2025-26,Kaiserslautern,Greuther Furth,1,0,1,6,2,3,0,0,1,7,5,0,0,0
2026-02-14,Bundesliga 2,2025-26,Dresden,Elversberg,1,2,5,6,3,3,0,0,3,11,6,0,1,1
2026-02-15,Bundesliga 2,2025-26,Magdeburg,Bielefeld,0,2,4,4,2,2,0,0,2,8,4,0,0,0
2026-02-15,Bundesliga 2,2025-26,Holstein Kiel,Schalke 04,1,2,9,6,3,1,0,0,3,15,4,0,1,1
2026-02-15,Bundesliga 2,2025-26,Bochum,Paderborn,0,0,4,6,2,3,0,0,0,10,5,0,0,0
2026-02-20,Bundesliga 2,2025-26,Bochum,Nurnberg,1,1,3,3,1,3,0,0,2,6,4,0,1,0
2026-02-20,Bundesliga 2,2025-26,Greuther Furth,Bielefeld,2,1,0,10,2,3,0,0,3,10,5,0,1,1
2026-02-21,Bundesliga 2,2025-26,Darmstadt,Fortuna Dusseldorf,2,1,4,11,4,0,0,1,3,15,4,1,1,1
2026-02-21,Bundesliga 2,2025-26,Elversberg,Braunschweig,3,1,4,0,1,1,0,0,4,4,2,0,1,1
2026-02-21,Bundesliga 2,2025-26,Karlsruhe,Holstein Kiel,3,1,3,4,5,5,0,0,4,7,10,0,1,1
2026-02-21,Bundesliga 2,2025-26,Schalke 04,Magdeburg,5,3,4,2,2,0,0,0,8,6,2,0,1,1
2026-02-22,Bundesliga 2,2025-26,Hannover,Dresden,0,0,9,2,2,3,0,0,0,11,5,0,0,0
2026-02-22,Bundesliga 2,2025-26,Paderborn,Hertha,5,2,4,7,0,1,0,0,7,11,1,0,1,1
2026-02-22,Bundesliga 2,2025-26,PreuÃen MÃ¼nster,Kaiserslautern,2,3,6,5,3,3,0,0,5,11,6,0,1,1
2026-02-27,Bundesliga 2,2025-26,Dresden,Darmstadt,3,1,1,8,3,1,1,1,4,9,4,2,1,1
2026-02-27,Bundesliga 2,2025-26,Fortuna Dusseldorf,Bochum,2,1,10,3,1,1,0,0,3,13,2,0,1,1
2026-02-28,Bundesliga 2,2025-26,Greuther Furth,Schalke 04,1,1,4,5,2,4,0,0,2,9,6,0,1,0
2026-02-28,Bundesliga 2,2025-26,Kaiserslautern,Paderborn,1,2,3,2,2,3,0,0,3,5,5,0,1,1
2026-02-28,Bundesliga 2,2025-26,Holstein Kiel,Elversberg,1,1,5,7,2,2,0,0,2,12,4,0,1,0
2026-02-28,Bundesliga 2,2025-26,Bielefeld,Hannover,0,1,9,3,3,4,0,0,1,12,7,0,0,0
2026-03-01,Bundesliga 2,2025-26,Braunschweig,PreuÃen MÃ¼nster,1,2,7,0,2,3,0,1,3,7,5,1,1,1
